Status,Server,Name,Model,Processor,Proc. Count,Memory,Serial Number,iLO,iLO FW,ROM Version,Appliance Name
OK,"SBICDCENCL38, bay 7",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,2,131072,SGH126YYGJ,"1. fe80:0:0:0:b67a:f1ff:febf:5b48, 2. 172.16.43.186",2.44 Apr 30 2021,I42 v2.42 (01/23/2021),DC-Synergy1
OK,"SBICDCENCL41, bay 7",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,2,65536,SGH126YY1P,"1. fe80:0:0:0:b67a:f1ff:febf:ea1a, 2. 172.16.43.212",2.72 Sep 04 2022,I42 v2.68 (07/14/2022),DC-Synergy1
OK,"SBICDCENCL29, bay 7",SCCPTBLRESX478.sbicmpc.internal,Synergy 480 Gen10 Plus,Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz,2,524288,SGH339NCVN,"1. fe80:0:0:0:5eed:8cff:febb:b19c, 2. 172.16.43.94",2.90 May 11 2023,I44 v1.76 (04/20/2023),DC-Synergy1
OK,"SBICDCENCL32, bay 7",SCCPPBLRESX341.sbicmpc.internal,Synergy 480 Gen10 Plus,Intel(R) Xeon(R) Silver 4316 CPU @ 2.30GHz,2,393216,SGH234XPQR,"1. fe80:0:0:0:5eed:8cff:fe2e:fb32, 2. 172.16.43.125",2.71 Jul 04 2022,I44 v1.60 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL31, bay 7",SCCPPBLRESX355.sbicmpc.internal,Synergy 480 Gen10 Plus,Intel(R) Xeon(R) Silver 4316 CPU @ 2.30GHz,2,262144,SGH234XPQL,"1. fe80:0:0:0:5eed:8cff:fe2e:fb7c, 2. 172.16.43.128",2.71 Jul 04 2022,I44 v1.60 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL37, bay 8",sccppblresx181.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH111TRF2,"1. fe80:0:0:0:b67a:f1ff:feb2:a06a, 2. 172.16.43.167",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL39, bay 8",sccpmblresx001.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,2,393216,SGH047WQSZ,"1. fe80:0:0:0:b67a:f1ff:fe55:607c, 2. 172.16.43.191",2.71 Jul 04 2022,I42 v2.68 (07/14/2022),DC-Synergy1
OK,"SBICDCENCL12, bay 8",SCCPPBLRESX168.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,393216,SGH110T31W,"1. fe80:0:0:0:b67a:f1ff:fe59:84f4, 2. 172.16.43.16",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL53, bay 8",sccppblresx287.sbicmpc.internal,Synergy 480 Gen10 Plus,Intel(R) Xeon(R) Silver 4316 CPU @ 2.30GHz,2,393216,SGH210S1S9,"1. fe80:0:0:0:5eba:2cff:fe43:1742, 2. 172.16.43.75",2.71 Jul 04 2022,I44 v1.60 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL29, bay 8",,Synergy 480 Gen10,Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,2,262144,SGH942WLYM,"1. fe80:0:0:0:af1:eaff:fe78:73f2, 2. 172.16.43.96",2.60 Dec 06 2021,I42 v2.58 (11/24/2021),DC-Synergy1
OK,"SBICDCENCL52, bay 8",sccppblresx285.sbicmpc.internal,Synergy 480 Gen10 Plus,Intel(R) Xeon(R) Silver 4316 CPU @ 2.30GHz,2,393216,SGH210S1SD,"1. fe80:0:0:0:5eba:2cff:fe43:782, 2. 172.16.43.76",2.71 Jul 04 2022,I44 v1.60 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL22, bay 8",sccppblresx198.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,393216,SGH111TRCZ,"1. fe80:0:0:0:b67a:f1ff:feb2:e164, 2. 172.16.43.40",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL23, bay 8",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH111TRDM,"1. fe80:0:0:0:b67a:f1ff:feb2:b0b0, 2. 172.16.43.41",2.44 Apr 30 2021,I42 v2.42 (01/23/2021),DC-Synergy1
