Health State,Power State,Connection State,Name,IP Address,Identifier,Model,Type,Chassis Name,Slot Name,Managed State
Normal,Online,Connected,idrac-HRQ8NS3,172.16.41.207,HRQ8NS3,PowerEdge MX750c,Compute,172.16.41.194,Sled-6,Managed
Normal,Online,Connected,idrac-JRQ8NS3,172.16.41.208,JRQ8NS3,PowerEdge MX750c,Compute,172.16.41.194,Sled-7,Managed
Normal,Online,Connected,idrac-1SQ8NS3,172.16.35.29,1SQ8NS3,PowerEdge MX750c,Compute,172.16.41.194,Sled-8,Managed
Normal,Offline,Connected,ENCL14-3,172.16.41.60,4C6W8T2,PowerEdge M640,Compute,SBICDCENCL14-CMC1,ENCL14-3,Managed
Normal,Offline,Connected,ENCL14-2,172.16.41.59,JMS1V72,PowerEdge M640,Compute,SBICDCENCL14-CMC1,ENCL14-2,Managed
Normal,Offline,Connected,ENCL47-14,172.16.34.90,BVN80T2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,sccppblrdbo253,Managed
Normal,Offline,Connected,ENCL14-14,172.16.34.84,JP5ZFL2,PowerEdge M640,Compute,SBICDCENCL44-CMC1,ENCL44-14,Managed
Normal,Online,Connected,ENCL14-07-SCCPPBLRDBO1077,172.16.41.64,JMS2B92,PowerEdge M640,Compute,SBICDCENCL14-CMC1,sccppblrdbo070,Managed
Normal,Online,Connected,idrac-6BS3NZ3,172.16.66.230,6BS3NZ3,PowerEdge R750,Compute,,,Managed
Normal,Online,Connected,idrac-9W33XT3,172.31.88.26,9W33XT3,PowerEdge R750,Compute,,,Managed
Normal,Online,Connected,idrac-7W33XT3,172.31.88.27,7W33XT3,PowerEdge R750,Compute,,,Managed
